Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,chromosome,description,type_of_gene,Class
Yellow,13-20,19,1,5,chromodomain helicase DNA binding protein 2,protein-coding,Animal
Yellow,21-28,28,1,3,oxysterol binding protein,protein-coding,Animal
Yellow,21-28,28,1,13,semaphorin 3A,protein-coding,Animal
Red,13-20,13,1,9,mitochondrial ribosomal protein L19,protein-coding,Animal
Red,13-20,13,1,2,ectonucleotide pyrophosphatase/phosphodiesterase 1,protein-coding,Animal
Yellow,21-28,22,1,X1,stabilin 1,protein-coding,Animal
Red,21-28,28,1,19,lin-28 homolog B,protein-coding,Animal
Green,13-20,13,1,11,alanyl-tRNA synthetase 1,protein-coding,Animal
Red,13-20,17,1,2,eukaryotic translation initiation factor 4E nuclear import factor 1,protein-coding,Animal
Yellow,05-Dec,5,1,3,phenazine biosynthesis like protein domain containing,protein-coding,Animal
Green,21-28,27,1,X1,complement C3-like,protein-coding,Animal
Yellow,21-28,26,1,X1,C1q and TNF related 2,protein-coding,Animal
Red,13-20,14,1,1,DDB1 and CUL4 associated factor 5,protein-coding,Animal
Red,05-Dec,6,1,X2,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",protein-coding,Animal
Yellow,13-20,17,1,2,protein phosphatase 1 catalytic subunit gamma,protein-coding,Animal
Green,13-20,13,1,2,leucine carboxyl methyltransferase 1,protein-coding,Animal
Yellow,21-28,28,1,2,activating transcription factor 7 interacting protein 2,protein-coding,Animal
Red,13-20,15,0,2,protein phosphatase 1 regulatory inhibitor subunit 14C,protein-coding,Animal
Red,21-28,23,1,4,metadherin,protein-coding,Animal
Yellow,21-28,22,1,4,transmembrane anterior posterior transformation 1,protein-coding,Animal
Yellow,05-Dec,9,1,5,docking protein 2,protein-coding,Animal
Yellow,21-28,26,1,5,peptidyl arginine deiminase 2,protein-coding,Animal
Yellow,13-20,20,1,7,nerve growth factor,protein-coding,Animal
Yellow,13-20,16,0,5,guanylate-binding protein 1-like,protein-coding,Animal
Yellow,13-20,17,1,13,VPS18 core subunit of CORVET and HOPS complexes,protein-coding,Animal
Yellow,21-28,25,1,2,"SET domain containing 1B, histone lysine methyltransferase",protein-coding,Animal
Yellow,13-20,16,1,3,"actin alpha 2, smooth muscle",protein-coding,Animal
Red,21-28,25,0,21,fibronectin type III domain containing 1,protein-coding,Animal
Yellow,21-28,21,0,5,pleckstrin homology domain containing A2,protein-coding,Animal
Yellow,21-28,21,1,3,tripartite motif containing 66,protein-coding,Animal
Red,13-20,17,1,X1,"cytochrome b-c1 complex subunit 1, mitochondrial",protein-coding,Animal
Red,21-28,22,1,8,adhesion regulating molecule 1,protein-coding,Animal
Yellow,21-28,22,1,Un,vomeronasal 1 receptor ornAnaV1R-ps4098 pseudogene,pseudo,Animal
Red,13-20,17,1,X3,NKD inhibitor of WNT signaling pathway 2,protein-coding,Animal
Yellow,21-28,22,1,5,solute carrier organic anion transporter family member 3A1,protein-coding,Animal
Yellow,21-28,28,1,3,olfactory receptor 4D9-like,protein-coding,Animal
Yellow,13-20,19,1,4,RAD54 homolog B,protein-coding,Animal
Yellow,21-28,22,1,9,GC-rich sequence DNA-binding factor 2,protein-coding,Animal
Yellow,13-20,16,1,2,cellular communication network factor 2,protein-coding,Animal
Red,05-Dec,10,1,X1,5'-nucleotidase domain containing 2,protein-coding,Animal
Yellow,21-28,26,1,19,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,protein-coding,Animal
Green,13-20,13,1,11,"ST3 beta-galactoside alpha-2,3-sialyltransferase 2",protein-coding,Animal
Yellow,13-20,16,1,X1,retinol dehydrogenase 8-like,protein-coding,Animal
Red,13-20,16,0,X1,"rabenosyn, RAB effector",protein-coding,Animal
Green,21-28,24,1,X5,programmed cell death 1 ligand 1,protein-coding,Animal
Yellow,21-28,26,1,X5,caspase activity and apoptosis inhibitor 1,protein-coding,Animal
Green,05-Dec,9,1,1,EPH receptor A4,protein-coding,Animal
Red,21-28,28,1,2,glutamate ionotropic receptor NMDA type subunit 2A,protein-coding,Animal
Yellow,21-28,22,1,2,AT-rich interaction domain 2,protein-coding,Animal
Yellow,13-20,15,0,3,doublecortin domain containing 1,protein-coding,Animal
Yellow,21-28,22,1,3,katanin catalytic subunit A1 like 2,protein-coding,Animal
Red,21-28,27,0,4,LIM homeobox 9,protein-coding,Animal
Red,21-28,26,1,7,tetraspanin 2,protein-coding,Animal
Green,21-28,24,0,11,"keratin, type I cuticular Ha1-like",protein-coding,Animal
Yellow,21-28,28,1,10,glycogen synthase 1,protein-coding,Animal
Green,21-28,25,1,11,autocrine motility factor receptor,protein-coding,Animal
Green,21-28,28,1,X1,"methyl-CpG binding domain 4, DNA glycosylase",protein-coding,Animal
Red,21-28,27,1,X2,actin filament associated protein 1 like 1,protein-coding,Animal
Green,21-28,22,0,8,vomeronasal 1 receptor ornAnaV1R3043,protein-coding,Animal
Yellow,21-28,23,0,3,poly(A) binding protein interacting protein 1,protein-coding,Animal
Green,13-20,17,1,6,A-kinase anchor protein 17B-like,protein-coding,Animal
Yellow,21-28,21,1,X2,methylthioribulose-1-phosphate dehydratase-like,pseudo,Animal
Red,21-28,27,0,2,TUB like protein 4,protein-coding,Animal
Yellow,13-20,19,1,3,3'-phosphoadenosine 5'-phosphosulfate synthase 2,protein-coding,Animal
Green,13-20,13,1,14,eukaryotic translation initiation factor 3 subunit D,protein-coding,Animal
Green,13-20,20,1,2,BAF chromatin remodeling complex subunit BCL7A,protein-coding,Animal
Red,13-20,19,1,X5,aldehyde dehydrogenase 1 family member A1,protein-coding,Animal
Red,05-Dec,10,1,5,transforming acidic coiled-coil containing protein 1,protein-coding,Animal
Yellow,13-20,16,1,12,exocyst complex component 1,protein-coding,Animal
Red,21-28,21,1,14,solute carrier family 25 member 3,protein-coding,Animal
Red,21-28,26,0,X1,olfactory receptor 10H1-like,protein-coding,Animal
Red,21-28,27,1,3,olfactory receptor 4D9-like,protein-coding,Animal
Red,21-28,24,1,13,semaphorin 3E,protein-coding,Animal
Red,21-28,26,1,11,splicing factor 3b subunit 3,protein-coding,Animal
Red,21-28,21,1,2,phosphoinositide-3-kinase interacting protein 1,protein-coding,Animal
Green,21-28,28,1,X1,G protein-coupled receptor 108,protein-coding,Animal
Red,13-20,14,1,1,"lengsin, lens protein with glutamine synthetase domain",protein-coding,Animal
Yellow,21-28,21,0,1,paired box protein Pax-3,protein-coding,Animal
Red,21-28,25,0,X2,sequestosome 1,protein-coding,Animal
Red,21-28,27,1,2,Rho GTPase activating protein 17,protein-coding,Animal
Red,13-20,16,1,2,R-spondin 3,protein-coding,Animal
Yellow,13-20,19,1,2,SR-related CTD associated factor 11,protein-coding,Animal
Red,21-28,21,1,3,inner mitochondrial membrane peptidase subunit 1,protein-coding,Animal
Green,21-28,21,1,8,death inducer-obliterator 1,protein-coding,Animal
Yellow,21-28,27,0,11,"keratin, type I cuticular Ha3-I-like",protein-coding,Animal
Yellow,21-28,22,1,4,regulator of G protein signaling 3,protein-coding,Animal
Green,13-20,15,1,5,succinate dehydrogenase complex iron sulfur subunit B,protein-coding,Animal
Yellow,13-20,16,1,1,"RAB3C, member RAS oncogene family",protein-coding,Animal
Red,21-28,22,1,20,olfactory guanylyl cyclase GC-D-like,protein-coding,Animal
Green,13-20,14,1,21,SLC9A3 regulator 2,protein-coding,Animal
Yellow,21-28,23,1,8,WAP four-disulfide core domain 2,protein-coding,Animal
Green,21-28,23,1,1,adenylate kinase 7,protein-coding,Animal
Yellow,21-28,21,1,X2,C-type lectin domain family 3 member A,protein-coding,Animal
Red,21-28,28,1,1,solute carrier family 66 member 1 like,protein-coding,Animal
Yellow,21-28,22,1,14,FAD dependent oxidoreductase domain containing 2,protein-coding,Animal
Green,13-20,19,1,2,nuclear receptor corepressor 2,protein-coding,Animal
Red,05-Dec,9,1,X5,cytochrome P450 1D1,protein-coding,Animal
Yellow,21-28,21,1,21,phosphodiesterase 10A,protein-coding,Animal
Yellow,13-20,14,1,4,crystallin zeta,protein-coding,Animal
Yellow,05-Dec,8,1,X1,uncharacterized protein C3orf67,protein-coding,Animal
Red,05-Dec,8,1,13,KIAA1217 ortholog,protein-coding,Animal
Red,05-Dec,11,0,18,OCA2 melanosomal transmembrane protein,protein-coding,Animal
Red,13-20,16,1,X1,collagen type VII alpha 1 chain,protein-coding,Animal
Red,05-Dec,8,0,8,laminin subunit alpha 5,protein-coding,Animal
Yellow,21-28,21,1,14,IKBKB interacting protein,protein-coding,Animal
Green,13-20,20,1,X1,butyrophilin-like protein 9,protein-coding,Animal
Red,21-28,27,1,16,karyopherin subunit alpha 6,protein-coding,Animal
Yellow,21-28,21,1,3,olfactory receptor 4D9-like,protein-coding,Animal
Yellow,21-28,21,1,8,solute carrier family 13 member 3,protein-coding,Animal
Red,21-28,28,1,11,cap methyltransferase 2,protein-coding,Animal
Green,05-Dec,7,1,2,LIM domain kinase 2,protein-coding,Animal
Yellow,13-20,17,1,20,FCH and double SH3 domains 2,protein-coding,Animal
Yellow,21-28,21,1,3,sorbin and SH3 domain containing 1,protein-coding,Animal
Red,21-28,25,1,X1,cyclin J like,protein-coding,Animal
Red,13-20,14,1,X1,thyrotropin releasing hormone,protein-coding,Animal
Red,21-28,22,1,X5,programmed cell death 1 ligand 2,protein-coding,Animal
Red,21-28,26,1,X2,MRN complex interacting protein,protein-coding,Animal
Yellow,05-Dec,8,1,2,coiled-coil domain containing 63,protein-coding,Animal
Green,05-Dec,12,1,2,solute carrier family 5 member 11,protein-coding,Animal
Yellow,13-20,16,1,3,glutamine and serine rich 1,protein-coding,Animal
Yellow,21-28,28,1,2,LDL receptor related protein 11,protein-coding,Animal
Red,13-20,17,0,4,growth factor receptor bound protein 10,protein-coding,Animal
Yellow,13-20,19,1,4,DENN domain containing 1B,protein-coding,Animal
Yellow,21-28,28,1,5,protein-arginine deiminase type-4-like,protein-coding,Animal
Green,21-28,28,1,7,thyroid stimulating hormone subunit beta,protein-coding,Animal
Green,21-28,28,1,8,transcription factor like 5,protein-coding,Animal
Yellow,21-28,21,1,X1,insulin like 3,protein-coding,Animal
Yellow,21-28,25,1,20,"tsukushi, small leucine rich proteoglycan",protein-coding,Animal
Yellow,21-28,21,1,3,ATPase family AAA domain containing 1,protein-coding,Animal
Red,13-20,15,1,17,solute carrier family 1 member 7,protein-coding,Animal
Yellow,13-20,17,1,14,thioredoxin 2,protein-coding,Animal
Red,21-28,21,1,2,ubiquitin C,protein-coding,Animal
Yellow,21-28,28,1,13,Rho GTPase activating protein 21,protein-coding,Animal
Red,05-Dec,11,1,X1,"5-hydroxymethylcytosine binding, ES cell specific",protein-coding,Animal
Yellow,05-Dec,6,1,8,Cdk5 and Abl enzyme substrate 2,protein-coding,Animal
Red,13-20,19,1,X1,nuclear receptor subfamily 2 group F member 6,protein-coding,Animal
Yellow,13-20,18,0,-,vomeronasal 1 receptor ornAnaV1R-ps4100 pseudogene,pseudo,Animal
Yellow,13-20,19,1,5,solute carrier family 2 member 1,protein-coding,Animal
Yellow,13-20,13,0,X3,solute carrier family 12 member 7,protein-coding,Animal
Yellow,21-28,23,1,12,"SEC24 homolog B, COPII coat complex component",protein-coding,Animal
Red,21-28,25,1,X1,cytochrome P450 4F22,protein-coding,Animal
Yellow,21-28,23,1,16,penta-EF-hand domain containing 1,protein-coding,Animal
Yellow,05-Dec,8,1,3,olfactory receptor 4D6,protein-coding,Animal
Yellow,21-28,21,1,11,CCR4-NOT transcription complex subunit 1,protein-coding,Animal
Red,13-20,19,1,X2,toll like receptor 9,protein-coding,Animal
Yellow,05-Dec,9,1,2,myosin light chain 2,protein-coding,Animal
Red,21-28,26,0,3,E2F transcription factor 8,protein-coding,Animal
Red,13-20,19,1,3,homeodomain interacting protein kinase 3,protein-coding,Animal
Yellow,21-28,28,1,2,protein-L-isoaspartate (D-aspartate) O-methyltransferase,protein-coding,Animal
Red,13-20,15,0,4,lysosomal protein transmembrane 4 beta,protein-coding,Animal
Yellow,21-28,22,0,7,synaptonemal complex protein 1,protein-coding,Animal
Red,13-20,20,1,8,collagen type IX alpha 3 chain,protein-coding,Animal
Yellow,05-Dec,9,0,4,GTP binding protein overexpressed in skeletal muscle,protein-coding,Animal
Yellow,21-28,28,0,4,vomeronasal 1 receptor ornAnaV1R-ps3057 pseudogene,pseudo,Animal
Yellow,21-28,23,1,3,secretoglobin family 1A member 1,protein-coding,Animal
Yellow,21-28,22,1,2,4-hydroxyphenylpyruvate dioxygenase,protein-coding,Animal
Red,21-28,24,1,8,"SEC11 homolog A, signal peptidase complex subunit",protein-coding,Animal
Yellow,21-28,28,0,X1,"RAB7A, member RAS oncogene family",protein-coding,Animal
Red,21-28,27,1,8,RBBP8 N-terminal like,protein-coding,Animal
Red,21-28,24,1,-,vomeronasal 1 receptor ornAnaV1R-ps4101 pseudogene,pseudo,Animal
Yellow,13-20,17,1,14,ankyrin repeat and sterile alpha motif domain containing 1B,protein-coding,Animal
Yellow,13-20,14,1,X1,peptidoglycan recognition protein 2,protein-coding,Animal
Yellow,21-28,28,1,16,nuclear transcription factor Y subunit gamma,protein-coding,Animal
Green,13-20,18,1,11,casein kinase 2 alpha 2,protein-coding,Animal
Red,13-20,14,1,15,cytokine receptor like factor 2,protein-coding,Animal
Yellow,21-28,28,1,X2,5'-aminolevulinate synthase 1,protein-coding,Animal
Green,13-20,15,1,3,zinc finger DHHC-type palmitoyltransferase 13,protein-coding,Animal
Yellow,13-20,18,1,2,nucleoporin 43,protein-coding,Animal
Yellow,05-Dec,11,1,4,dopa decarboxylase,protein-coding,Animal
Yellow,21-28,25,0,4,matrilin 2,protein-coding,Animal
Red,13-20,13,1,4,crumbs cell polarity complex component 1,protein-coding,Animal
Red,13-20,20,1,7,bile acid receptor-like,protein-coding,Animal
Yellow,21-28,25,0,11,keratin 222,protein-coding,Animal
Yellow,13-20,13,1,1,regulator of G protein signaling 7 binding protein,protein-coding,Animal
Green,21-28,24,1,20,alkaline ceramidase 3,protein-coding,Animal
Yellow,21-28,22,1,17,eosinophil peroxidase,protein-coding,Animal
Red,13-20,20,1,1,gephyrin,protein-coding,Animal
Yellow,21-28,28,1,7,cytochrome P450 20A1,protein-coding,Animal
Red,13-20,20,0,2,family with sequence similarity 83 member A,protein-coding,Animal
Green,21-28,28,0,2,"proteasome 26S subunit, non-ATPase 9",protein-coding,Animal
Red,13-20,15,0,5,phospholipid phosphatase 5,protein-coding,Animal
Red,13-20,19,1,18,HECT and RLD domain containing E3 ubiquitin protein ligase 2,protein-coding,Animal
Yellow,21-28,23,0,13,Meis homeobox 2,protein-coding,Animal
Red,13-20,18,1,21,"5'-nucleotidase, cytosolic IIIA",protein-coding,Animal
Yellow,21-28,26,1,X3,solute carrier family 6 member 19,protein-coding,Animal
Yellow,13-20,20,0,12,mitochondrial calcium uniporter dominant negative subunit beta,protein-coding,Animal
Red,21-28,28,0,X1,RAS protein activator like 3,protein-coding,Animal
Yellow,13-20,13,0,16,small ArfGAP2,protein-coding,Animal
Red,21-28,23,0,3,olfactory receptor 5A1-like,protein-coding,Animal
Yellow,21-28,26,1,4,vir like m6A methyltransferase associated,protein-coding,Animal
Yellow,21-28,28,1,2,chromosome 2 C12orf43 homolog,protein-coding,Animal
Red,21-28,21,1,20,ribosomal protein S3,protein-coding,Animal
Red,21-28,22,1,X1,oxidative stress induced growth inhibitor 1,protein-coding,Animal
Red,21-28,22,0,10,serine/threonine kinase 24,protein-coding,Animal
Yellow,13-20,13,1,12,centrosomal protein 44,protein-coding,Animal
Red,13-20,18,1,X2,POC1 centriolar protein A,protein-coding,Animal
Red,13-20,14,1,2,cut like homeobox 2,protein-coding,Animal
Yellow,13-20,13,1,2,large tumor suppressor kinase 1,protein-coding,Animal
Red,13-20,13,1,4,fidgetin like 1,protein-coding,Animal
Red,21-28,22,1,4,retinoic acid receptor RXR-alpha,protein-coding,Animal
Yellow,21-28,22,1,4,vacuolar protein sorting 13 homolog B,protein-coding,Animal
Yellow,21-28,22,0,4,assembly factor for spindle microtubules,protein-coding,Animal
Red,13-20,16,1,4,dihydropteridine reductase,protein-coding,Animal
Yellow,21-28,23,1,5,regulator of chromosome condensation 2,protein-coding,Animal
Red,21-28,25,1,7,adenosine monophosphate deaminase 1,protein-coding,Animal
Yellow,13-20,14,0,8,opioid growth factor receptor,protein-coding,Animal
Yellow,21-28,27,1,3,"RELA proto-oncogene, NF-kB subunit",protein-coding,Animal
Yellow,13-20,14,1,1,mannosylglucosyl-3-phosphoglycerate phosphatase-like,protein-coding,Animal
Yellow,13-20,18,1,13,kelch like family member 40,protein-coding,Animal
Yellow,21-28,25,1,3,tetraspanin 15,protein-coding,Animal
Yellow,13-20,15,0,20,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",protein-coding,Animal
Green,21-28,24,1,4,antizyme inhibitor 1,protein-coding,Animal
Red,21-28,24,1,-,vomeronasal 1 receptor ornAnaV1R-ps3087 pseudogene,pseudo,Animal
Red,13-20,16,1,15,lysozyme g2,protein-coding,Animal
Red,13-20,17,1,14,RNA binding fox-1 homolog 2,protein-coding,Animal
Yellow,21-28,22,1,5,DDHD domain containing 2,protein-coding,Animal
Red,13-20,15,0,1,peroxisomal biogenesis factor 5 like,protein-coding,Animal
Red,13-20,17,1,1,mitochondrial ribosomal protein S5,protein-coding,Animal
Green,13-20,19,1,21,mitochondrial pyruvate carrier 1,protein-coding,Animal
Yellow,13-20,16,1,X3,solute carrier family 6 member 18,protein-coding,Animal
Red,13-20,20,0,14,UHRF1 binding protein 1 like,protein-coding,Animal
Yellow,21-28,25,1,12,caspase 6,protein-coding,Animal
Red,21-28,26,1,3,olfactory receptor 5A2-like,protein-coding,Animal
Yellow,21-28,26,1,5,suppressor of cytokine signaling 6,protein-coding,Animal
Yellow,13-20,20,0,8,EYA transcriptional coactivator and phosphatase 2,protein-coding,Animal
Yellow,13-20,14,1,2,monooxygenase DBH like 1,protein-coding,Animal
Red,05-Dec,7,1,1,calcium binding protein 39,protein-coding,Animal
Green,05-Dec,11,1,11,golgi glycoprotein 1,protein-coding,Animal
Green,13-20,14,1,2,signal peptide peptidase like 3,protein-coding,Animal
Red,05-Dec,7,1,X1,PWWP domain containing 2A,protein-coding,Animal
Yellow,13-20,13,1,X1,N-terminal EF-hand calcium binding protein 2,protein-coding,Animal
Red,21-28,23,1,10,solute carrier family 15 member 1,protein-coding,Animal
Red,21-28,22,1,2,PH domain containing endocytic trafficking adaptor 1,protein-coding,Animal
Yellow,13-20,19,1,2,Grid2 interacting protein,protein-coding,Animal
Red,21-28,27,1,2,solute carrier family 38 member 2,protein-coding,Animal
Red,21-28,21,1,3,7-dehydrocholesterol reductase,protein-coding,Animal
Red,21-28,28,1,3,DnaJ heat shock protein family (Hsp40) member C24,protein-coding,Animal
Yellow,13-20,16,1,3,lipoxygenase homology domains 1,protein-coding,Animal
Red,21-28,22,1,4,cytochrome c oxidase subunit 6C,protein-coding,Animal
Green,05-Dec,7,1,4,coagulation factor XIII B chain,protein-coding,Animal
Yellow,21-28,23,1,7,"NRAS proto-oncogene, GTPase",protein-coding,Animal
Yellow,21-28,26,1,8,MINDY lysine 48 deubiquitinase 2,protein-coding,Animal
Yellow,21-28,21,1,X1,coiled-coil domain containing 71,protein-coding,Animal
Yellow,21-28,25,1,13,zinc finger and BTB domain containing 47,protein-coding,Animal
Yellow,21-28,23,0,1,neurolysin,protein-coding,Animal
Yellow,13-20,17,1,3,"CTR9 homolog, Paf1/RNA polymerase II complex component",protein-coding,Animal
Yellow,13-20,14,0,17,"aldolase, fructose-bisphosphate C",protein-coding,Animal
Green,13-20,13,1,1,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",protein-coding,Animal
Red,21-28,24,0,2,cilia and flagella associated protein 251,protein-coding,Animal
Yellow,13-20,18,0,X1,potassium channel tetramerization domain containing 6,protein-coding,Animal
Yellow,21-28,27,1,13,phosphoribosyl transferase domain containing 1,protein-coding,Animal
Yellow,21-28,24,0,12,factor interacting with PAPOLA and CPSF1,protein-coding,Animal
Yellow,05-Dec,5,1,18,NIPA magnesium transporter 1,protein-coding,Animal
Red,13-20,15,1,1,kinesin family member 2A,protein-coding,Animal
Yellow,21-28,23,1,X1,GATA binding protein 2,protein-coding,Animal
Red,21-28,24,1,1,"mal, T cell differentiation protein",protein-coding,Animal
Red,21-28,26,1,11,BARX homeobox 2,protein-coding,Animal
Yellow,05-Dec,12,1,Un,vomeronasal 1 receptor ornAnaV1R3277,protein-coding,Animal
Green,21-28,21,1,16,coiled-coil domain containing 28B,protein-coding,Animal
Yellow,13-20,18,1,3,olfactory receptor 5A2-like,protein-coding,Animal
Yellow,21-28,28,1,5,rotatin,protein-coding,Animal
Yellow,13-20,16,1,1,kizuna centrosomal protein,protein-coding,Animal
Yellow,13-20,13,1,13,piccolo presynaptic cytomatrix protein,protein-coding,Animal
Green,13-20,15,1,1,solute carrier family 24 member 3,protein-coding,Animal
Green,05-Dec,11,1,1,transcription cofactor HES-6,protein-coding,Animal
Yellow,13-20,16,1,X1,tetratricopeptide repeat domain 1,protein-coding,Animal
Yellow,13-20,19,1,X1,solute carrier family 38 member 8,protein-coding,Animal
Red,21-28,24,1,X5,"RIC1 homolog, RAB6A GEF complex partner 1",protein-coding,Animal
Yellow,13-20,13,1,10,dedicator of cytokinesis 9,protein-coding,Animal
Red,05-Dec,10,1,2,SH2B adaptor protein 3,protein-coding,Animal
Yellow,13-20,16,1,2,zinc finger DHHC-type palmitoyltransferase 4,protein-coding,Animal
Red,21-28,28,1,4,IKAROS family zinc finger 1,protein-coding,Animal
Yellow,05-Dec,8,1,4,collagen type V alpha 1 chain,protein-coding,Animal
Green,21-28,24,1,5,Rho guanine nucleotide exchange factor 10 like,protein-coding,Animal
Red,21-28,22,1,7,BCAS2 pre-mRNA processing factor,protein-coding,Animal
Red,21-28,26,1,5,NSF attachment protein gamma,protein-coding,Animal
Yellow,13-20,13,0,8,MRG domain binding protein,protein-coding,Animal
Red,21-28,28,1,5,hexokinase 2,protein-coding,Animal
Yellow,13-20,19,1,10,nuclear envelope integral membrane protein 1,protein-coding,Animal
Green,05-Dec,10,1,-,vomeronasal 1 receptor ornAnaV1R3180,protein-coding,Animal
Yellow,05-Dec,7,1,X5,potassium inwardly rectifying channel subfamily J member 10,protein-coding,Animal
Green,21-28,23,0,-,vomeronasal 1 receptor ornAnaV1R-ps3772 pseudogene,pseudo,Animal
Yellow,13-20,15,1,3,cytochrome P450 26C1,protein-coding,Animal
Yellow,21-28,27,1,14,neuron navigator 3,protein-coding,Animal
Yellow,13-20,14,1,17,"zyg-11 family member B, cell cycle regulator",protein-coding,Animal
Green,21-28,27,1,17,musashi RNA binding protein 2,protein-coding,Animal
Yellow,21-28,27,1,2,MLX interacting protein,protein-coding,Animal
Yellow,13-20,18,1,X1,acyl-CoA oxidase 2,protein-coding,Animal
Yellow,21-28,22,1,13,"enkurin, TRPC channel interacting protein",protein-coding,Animal
Yellow,13-20,15,1,1,5-hydroxytryptamine receptor 1A,protein-coding,Animal
Yellow,21-28,24,1,Un,vomeronasal 1 receptor ornAnaV1R-ps4103 pseudogene,pseudo,Animal
Green,05-Dec,7,0,12,complement factor I,protein-coding,Animal
Yellow,21-28,26,1,X1,bromodomain containing 4,protein-coding,Animal
Red,13-20,16,1,8,zinc finger MYND-type containing 8,protein-coding,Animal
Yellow,13-20,17,1,1,period circadian regulator 2,protein-coding,Animal
Yellow,13-20,18,1,X2,ribosomal protein S6,protein-coding,Animal
Red,13-20,14,1,10,growth differentiation factor 11,protein-coding,Animal
Yellow,21-28,26,1,14,ceramide kinase,protein-coding,Animal
Yellow,05-Dec,9,1,15,interleukin 1 receptor accessory protein like 1,protein-coding,Animal
Yellow,13-20,13,1,X1,leucine rich repeat neuronal 1,protein-coding,Animal
Green,21-28,21,1,10,G protein-coupled receptor 18,protein-coding,Animal
Yellow,05-Dec,12,1,X2,dual specificity phosphatase 7,protein-coding,Animal
Red,13-20,19,1,2,ataxin 2,protein-coding,Animal
Red,21-28,28,1,2,chromosome 2 C16orf72 homolog,protein-coding,Animal
Yellow,21-28,24,0,3,two pore segment channel 2,protein-coding,Animal
Green,21-28,26,1,2,katanin catalytic subunit A1,protein-coding,Animal
Yellow,13-20,15,1,8,ADAM metallopeptidase domain 10,protein-coding,Animal
Green,21-28,26,1,5,DENN domain containing 4A,protein-coding,Animal
Red,21-28,27,1,-,vomeronasal 1 receptor ornAnaV1R-ps3745 pseudogene,pseudo,Animal
Yellow,13-20,20,1,2,UPF3A regulator of nonsense mediated mRNA decay,protein-coding,Animal
Red,21-28,27,1,8,myelin expression factor 2,protein-coding,Animal
Yellow,13-20,17,0,4,dolichyldiphosphatase 1,protein-coding,Animal
Yellow,13-20,14,1,1,G-patch domain containing 2 like,protein-coding,Animal
Yellow,21-28,25,1,4,glutamate rich 3,protein-coding,Animal
Red,21-28,28,0,X1,PX domain containing serine/threonine kinase like,protein-coding,Animal
Yellow,13-20,20,1,7,abl interactor 2,protein-coding,Animal
Red,21-28,25,1,11,nectin cell adhesion molecule 1,protein-coding,Animal
Yellow,21-28,25,1,2,clavesin 2,protein-coding,Animal
Yellow,21-28,21,1,X1,DnaJ heat shock protein family (Hsp40) member B8,protein-coding,Animal
Red,21-28,25,1,11,transmembrane protein 45B,protein-coding,Animal
Yellow,21-28,26,1,4,carbonic anhydrase 3,protein-coding,Animal
Green,13-20,13,1,Un,vomeronasal 1 receptor ornAnaV1R3278,protein-coding,Animal
Yellow,13-20,18,1,X3,CLPTM1 like,protein-coding,Animal
Red,21-28,22,1,14,DEP domain containing 4,protein-coding,Animal
Red,13-20,16,1,3,macrophage expressed 1,protein-coding,Animal
Yellow,21-28,28,1,2,trace amine-associated receptor 4,protein-coding,Animal
Red,21-28,25,1,10,SAP domain containing ribonucleoprotein,protein-coding,Animal
Green,05-Dec,8,1,15,acetylserotonin O-methyltransferase like,protein-coding,Animal
Yellow,21-28,22,1,15,nuclear receptor subfamily 0 group B member 1,protein-coding,Animal
Green,13-20,20,1,X1,tRNA nucleotidyl transferase 1,protein-coding,Animal
Yellow,05-Dec,5,1,1,"60 kDa heat shock protein, mitochondrial-like",pseudo,Animal
Red,21-28,28,0,3,elongator acetyltransferase complex subunit 4,protein-coding,Animal
Red,13-20,15,1,3,ring finger protein 165,protein-coding,Animal
Yellow,13-20,14,1,2,glycoprotein integral membrane 1,protein-coding,Animal
Yellow,13-20,14,1,4,olfactomedin 1,protein-coding,Animal
Red,21-28,23,1,4,regulator of G protein signaling 22,protein-coding,Animal
Yellow,21-28,27,1,5,high mobility group 20A,protein-coding,Animal
Red,21-28,24,0,8,neurotensin receptor 1,protein-coding,Animal
Yellow,21-28,23,1,11,hepatic and glial cell adhesion molecule,protein-coding,Animal
Red,13-20,14,1,Un,vomeronasal 1 receptor ornAnaV1R3045,protein-coding,Animal
Green,21-28,23,0,3,exocyst complex component 6,protein-coding,Animal
Red,13-20,14,1,1,intraflagellar transport 43,protein-coding,Animal
Red,21-28,28,1,17,A-kinase anchoring protein 1,protein-coding,Animal
Red,13-20,19,1,2,leucine rich repeat containing 43,protein-coding,Animal
Red,21-28,21,1,4,uncharacterized oxidoreductase ZK1290.5-like,protein-coding,Animal
Yellow,21-28,22,1,8,baculoviral IAP repeat containing 7,protein-coding,Animal
Green,13-20,20,1,1,tetratricopeptide repeat domain 14,protein-coding,Animal
Yellow,21-28,28,1,4,MAPK associated protein 1,protein-coding,Animal
Red,13-20,15,1,1,fibronectin type III domain containing 3B,protein-coding,Animal
Yellow,05-Dec,6,1,21,"afadin, adherens junction formation factor",protein-coding,Animal
Red,21-28,22,1,X3,solute carrier family 6 member 3,protein-coding,Animal
